Steppe_MLBA:Kazakhstan_MLBA_KazakhMys:I4783__BC_1506__Cov_62.27%,0.122929,0.09546,0.050534,0.086241,-0.002154,0.036256,0.00094,0.006,-0.028224,-0.037176,-0.006171,0.001049,-0.002825,-0.026974,0.017915,0.011005,-0.00339,-0.002787,-0.007919,0.004877,-0.004243,-0.00272,0.005423,0.007712,-0.000359
Steppe_MLBA:Kazakhstan_Shoendykol_MLBA_Fedorovo:I10110__BC_1150__Cov_70.71%,0.133173,0.102568,0.055437,0.085918,0.012925,0.028726,-0.005405,0.008077,-0.014521,-0.031162,-0.005034,0.005995,-0.0055,-0.026424,0.023208,0.025722,0.005998,0,-0.002263,0.003752,-0.005615,0.007048,-0.010106,0.008435,0.003233
Steppe_MLBA:Kazakhstan_Shoendykol_MLBA_Fedorovo:I10111__BC_1446__Cov_71.27%,0.125205,0.092413,0.062979,0.077197,0.008309,0.030957,0.001175,0.000462,-0.016771,-0.042097,-0.004547,-0.0003,0.003271,-0.017203,0.022801,0.020817,0.002217,0.002787,-0.003897,0.004002,-0.010856,0.002473,0.009983,0.008555,-0.010538
Steppe_MLBA:Kazakhstan_Shoendykol_MLBA_Fedorovo:I10112__BC_1547__Cov_71.75%,0.118376,0.085304,0.055814,0.07106,-0.004924,0.017012,0.001175,-0.010153,-0.013703,-0.030069,-0.002111,0.001049,-0.012487,-0.028763,0.032301,0.004243,-0.013299,0.00152,0.004022,-0.008004,-0.017719,0.002844,0.000616,0.013014,-0.000718
Steppe_MLBA:Kazakhstan_Taldysay_MLBA1:I4787__BC_1266__Cov_67.46%,0.122929,0.094444,0.056945,0.091086,-0.004308,0.038487,0,0.003,-0.017998,-0.03827,0.001786,-0.003597,0.001041,-0.020919,0.031216,0.012994,-0.008996,-0.007475,0.000377,-0.00025,-0.002371,0.002349,0.002958,-0.000241,-0.007424
Steppe_MLBA:Kazakhstan_Taldysay_MLBA2:I4794__BC_1500__Cov_31.54%,0.106994,0.051792,0.018856,0.064277,-0.036314,0.022869,0.01034,0.000923,-0.032315,-0.0277,-0.002923,0.004046,0.007582,-0.022845,0.023344,0.029302,-0.00013,0.000127,0.002263,0.003877,-0.007612,0.005441,-0.000986,0.013616,-0.003712
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau:I3788__BC_1586__Cov_25.90%,0.129758,0.069056,0.068259,0.111759,-0.016926,0.037929,-0.00329,-0.015692,-0.012885,-0.045012,0.014777,0.000599,0.001338,-0.029176,0.024837,0.007558,-0.012386,0.004434,0.006536,-0.004877,-0.011854,0.007419,0.009244,0,-0.010298
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau:I3861__BC_1745__Cov_34.51%,0.12862,0.08632,0.061848,0.073967,0.004616,0.021475,0.011751,0.008769,-0.015339,-0.024784,-0.004222,-0.007343,0.005352,-0.029451,0.016422,0.029037,0.013821,-0.007221,-0.003771,0.003502,-0.001622,0.001978,-0.002218,0.012773,-0.006466
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau:I4789__BC_1537__Cov_73.67%,0.117238,0.110693,0.055437,0.083011,0.003077,0.031236,0.00094,0.010384,-0.016566,-0.030798,-0.002598,0.004496,0.000595,-0.022983,0.029587,0.02254,0.006389,-0.001647,-0.006411,0.009004,0.000499,0.005317,0.003328,0.013496,-0.001676
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau:I4790__BC_1475__Cov_72.43%,0.124067,0.089367,0.060716,0.08075,0,0.030678,-0.000705,0.011769,-0.003477,-0.028247,0.00065,-0.006894,0.004162,-0.019955,0.014251,0.008751,-0.009257,-0.003041,-0.004525,0.004252,-0.006239,0.007419,0.008997,0.003976,0.001916
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau:I4791__BC_1499__Cov_10.53%,0.111547,0.098506,0.059962,0.083011,-0.004001,0.03514,-0.019741,0.007615,-0.024134,-0.03098,-0.008444,-0.013038,0.002527,-0.025598,0.017779,0.033678,0.01695,-0.004814,0.013701,-0.005002,-0.022211,-0.004699,0,0.019039,-0.012574
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau:I7060__BC_1489__Cov_57.48%,0.125205,0.09546,0.048649,0.085272,0.003693,0.03263,0.006815,0.000923,-0.020861,-0.032438,0.002923,0.006145,-0.001189,-0.030277,0.02538,0.022142,-0.007432,0.002027,0.000754,-0.004377,-0.010357,-0.000124,0.006286,0.009519,0.003712
Steppe_MLBA:Kazakhstan_MLBA_OyDzhaylau_o:I3860__BC_1653__Cov_20.38%,0.1161,0.012186,0.068259,0.148258,-0.060627,0.030399,-0.032901,-0.03046,-0.038246,-0.069614,0.018675,-0.001948,0.024826,-0.054636,0.023615,0.026253,-0.01004,-0.003801,0.003268,-0.005253,-0.027951,0.008285,0.019227,0.015906,-0.00467
